realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,2003-01-01,10557
2018-12-11,2018-12-11,2003-02-01,10727
2018-12-11,2018-12-11,2003-03-01,10725
2018-12-11,2018-12-11,2003-04-01,10826
2018-12-11,2018-12-11,2003-05-01,10888
2018-12-11,2018-12-11,2003-06-01,11131
2018-12-11,2018-12-11,2003-07-01,11278
2018-12-11,2018-12-11,2003-08-01,11356
2018-12-11,2018-12-11,2003-09-01,11577
2018-12-11,2018-12-11,2003-10-01,11679
2018-12-11,2018-12-11,2003-11-01,11661
2018-12-11,2018-12-11,2003-12-01,11703
2018-12-11,2018-12-11,2004-01-01,12172
2018-12-11,2018-12-11,2004-02-01,12279
2018-12-11,2018-12-11,2004-03-01,12374
2018-12-11,2018-12-11,2004-04-01,12428
2018-12-11,2018-12-11,2004-05-01,12683
2018-12-11,2018-12-11,2004-06-01,12609
2018-12-11,2018-12-11,2004-07-01,12794
2018-12-11,2018-12-11,2004-08-01,12915
2018-12-11,2018-12-11,2004-09-01,13024
2018-12-11,2018-12-11,2004-10-01,13202
2018-12-11,2018-12-11,2004-11-01,13240
2018-12-11,2018-12-11,2004-12-01,13403
2018-12-11,2018-12-11,2005-01-01,13688
2018-12-11,2018-12-11,2005-02-01,13686
2018-12-11,2018-12-11,2005-03-01,13986
2018-12-11,2018-12-11,2005-04-01,14070
2018-12-11,2018-12-11,2005-05-01,14297
2018-12-11,2018-12-11,2005-06-01,14520
2018-12-11,2018-12-11,2005-07-01,14727
2018-12-11,2018-12-11,2005-08-01,15091
2018-12-11,2018-12-11,2005-09-01,15056
2018-12-11,2018-12-11,2005-10-01,15282
2018-12-11,2018-12-11,2005-11-01,15482
2018-12-11,2018-12-11,2005-12-01,15697
2018-12-11,2018-12-11,2006-01-01,16019
2018-12-11,2018-12-11,2006-02-01,16182
2018-12-11,2018-12-11,2006-03-01,16728
2018-12-11,2018-12-11,2006-04-01,16420
2018-12-11,2018-12-11,2006-05-01,16483
2018-12-11,2018-12-11,2006-06-01,16732
2018-12-11,2018-12-11,2006-07-01,16501
2018-12-11,2018-12-11,2006-08-01,17102
2018-12-11,2018-12-11,2006-09-01,17351
2018-12-11,2018-12-11,2006-10-01,17462
2018-12-11,2018-12-11,2006-11-01,17401
2018-12-11,2018-12-11,2006-12-01,17704
2018-12-11,2018-12-11,2007-01-01,17558
2018-12-11,2018-12-11,2007-02-01,17989
2018-12-11,2018-12-11,2007-03-01,18149
2018-12-11,2018-12-11,2007-04-01,18143
2018-12-11,2018-12-11,2007-05-01,18421
2018-12-11,2018-12-11,2007-06-01,18586
2018-12-11,2018-12-11,2007-07-01,19087
2018-12-11,2018-12-11,2007-08-01,18920
2018-12-11,2018-12-11,2007-09-01,19012
2018-12-11,2018-12-11,2007-10-01,19323
2018-12-11,2018-12-11,2007-11-01,19603
2018-12-11,2018-12-11,2007-12-01,18719
2018-12-11,2018-12-11,2008-01-01,18688
2018-12-11,2018-12-11,2008-02-01,18729
2018-12-11,2018-12-11,2008-03-01,18891
2018-12-11,2018-12-11,2008-04-01,19293
2018-12-11,2018-12-11,2008-05-01,19478
2018-12-11,2018-12-11,2008-06-01,19472
2018-12-11,2018-12-11,2008-07-01,19673
2018-12-11,2018-12-11,2008-08-01,19387
2018-12-11,2018-12-11,2008-09-01,19482
2018-12-11,2018-12-11,2008-10-01,19010
2018-12-11,2018-12-11,2008-11-01,18197
2018-12-11,2018-12-11,2008-12-01,18383
2018-12-11,2018-12-11,2009-01-01,18702
2018-12-11,2018-12-11,2009-02-01,18832
2018-12-11,2018-12-11,2009-03-01,18701
2018-12-11,2018-12-11,2009-04-01,18816
2018-12-11,2018-12-11,2009-05-01,19070
2018-12-11,2018-12-11,2009-06-01,19455
2018-12-11,2018-12-11,2009-07-01,19839
2018-12-11,2018-12-11,2009-08-01,19933
2018-12-11,2018-12-11,2009-09-01,20151
2018-12-11,2018-12-11,2009-10-01,20204
2018-12-11,2018-12-11,2009-11-01,20389
2018-12-11,2018-12-11,2009-12-01,20550
2018-12-11,2018-12-11,2010-01-01,20726
2018-12-11,2018-12-11,2010-02-01,20742
2018-12-11,2018-12-11,2010-03-01,21521
2018-12-11,2018-12-11,2010-04-01,21458
2018-12-11,2018-12-11,2010-05-01,21459
2018-12-11,2018-12-11,2010-06-01,21995
2018-12-11,2018-12-11,2010-07-01,21793
2018-12-11,2018-12-11,2010-08-01,22362
2018-12-11,2018-12-11,2010-09-01,22426
2018-12-11,2018-12-11,2010-10-01,22561
2018-12-11,2018-12-11,2010-11-01,22567
2018-12-11,2018-12-11,2010-12-01,22820
2018-12-11,2018-12-11,2011-01-01,23665
2018-12-11,2018-12-11,2011-02-01,23325
2018-12-11,2018-12-11,2011-03-01,23603
2018-12-11,2018-12-11,2011-04-01,23785
2018-12-11,2018-12-11,2011-05-01,24147
2018-12-11,2018-12-11,2011-06-01,24301
2018-12-11,2018-12-11,2011-07-01,24424
2018-12-11,2018-12-11,2011-08-01,24719
2018-12-11,2018-12-11,2011-09-01,24602
2018-12-11,2018-12-11,2011-10-01,25546
2018-12-11,2018-12-11,2011-11-01,25806
2018-12-11,2018-12-11,2011-12-01,25976
2018-12-11,2018-12-11,2012-01-01,25878
2018-12-11,2018-12-11,2012-02-01,26391
2018-12-11,2018-12-11,2012-03-01,26338
2018-12-11,2018-12-11,2012-04-01,26499
2018-12-11,2018-12-11,2012-05-01,26921
2018-12-11,2018-12-11,2012-06-01,27036
2018-12-11,2018-12-11,2012-07-01,27369
2018-12-11,2018-12-11,2012-08-01,27740
2018-12-11,2018-12-11,2012-09-01,27968
2018-12-11,2018-12-11,2012-10-01,27958
2018-12-11,2018-12-11,2012-11-01,28605
2018-12-11,2018-12-11,2012-12-01,28663
2018-12-11,2018-12-11,2013-01-01,28967
2018-12-11,2018-12-11,2013-02-01,28795
2018-12-11,2018-12-11,2013-03-01,28778
2018-12-11,2018-12-11,2013-04-01,28574
2018-12-11,2018-12-11,2013-05-01,28746
2018-12-11,2018-12-11,2013-06-01,28946
2018-12-11,2018-12-11,2013-07-01,29179
2018-12-11,2018-12-11,2013-08-01,29303
2018-12-11,2018-12-11,2013-09-01,29435
2018-12-11,2018-12-11,2013-10-01,29202
2018-12-11,2018-12-11,2013-11-01,29500
2018-12-11,2018-12-11,2013-12-01,30178
2018-12-11,2018-12-11,2014-01-01,29390
2018-12-11,2018-12-11,2014-02-01,30227
2018-12-11,2018-12-11,2014-03-01,30964
2018-12-11,2018-12-11,2014-04-01,31309
2018-12-11,2018-12-11,2014-05-01,31449
2018-12-11,2018-12-11,2014-06-01,32483
2018-12-11,2018-12-11,2014-07-01,32243
2018-12-11,2018-12-11,2014-08-01,32645
2018-12-11,2018-12-11,2014-09-01,32884
2018-12-11,2018-12-11,2014-10-01,33431
2018-12-11,2018-12-11,2014-11-01,33504
2018-12-11,2018-12-11,2014-12-01,33990
2018-12-11,2018-12-11,2015-01-01,34062
2018-12-11,2018-12-11,2015-02-01,34532
2018-12-11,2018-12-11,2015-03-01,34693
2018-12-11,2018-12-11,2015-04-01,35267
2018-12-11,2018-12-11,2015-05-01,35473
2018-12-11,2018-12-11,2015-06-01,35604
2018-12-11,2018-12-11,2015-07-01,36290
2018-12-11,2018-12-11,2015-08-01,36593
2018-12-11,2018-12-11,2015-09-01,36985
2018-12-11,2018-12-11,2015-10-01,37317
2018-12-11,2018-12-11,2015-11-01,37554
2018-12-11,2018-12-11,2015-12-01,37848
2018-12-11,2018-12-11,2016-01-01,38399
2018-12-11,2018-12-11,2016-02-01,38688
2018-12-11,2018-12-11,2016-03-01,39069
2018-12-11,2018-12-11,2016-04-01,39296
2018-12-11,2018-12-11,2016-05-01,39930
2018-12-11,2018-12-11,2016-06-01,40518
2018-12-11,2018-12-11,2016-07-01,40709
2018-12-11,2018-12-11,2016-08-01,41066
2018-12-11,2018-12-11,2016-09-01,41392
2018-12-11,2018-12-11,2016-10-01,41921
2018-12-11,2018-12-11,2016-11-01,42120
2018-12-11,2018-12-11,2016-12-01,42546
2018-12-11,2018-12-11,2017-01-01,43073
2018-12-11,2018-12-11,2017-02-01,43339
2018-12-11,2018-12-11,2017-03-01,43722
2018-12-11,2018-12-11,2017-04-01,44515
2018-12-11,2018-12-11,2017-05-01,45013
2018-12-11,2018-12-11,2017-06-01,45387
2018-12-11,2018-12-11,2017-07-01,45841
2018-12-11,2018-12-11,2017-08-01,46014
2018-12-11,2018-12-11,2017-09-01,45863
2018-12-11,2018-12-11,2017-10-01,46054
2018-12-11,2018-12-11,2017-11-01,47754
2018-12-11,2018-12-11,2017-12-01,47673
2018-12-11,2018-12-11,2018-01-01,47096
2018-12-11,2018-12-11,2018-02-01,48157
2018-12-11,2018-12-11,2018-03-01,48514
2018-12-11,2018-12-11,2018-04-01,48787
2018-12-11,2018-12-11,2018-05-01,49080
2018-12-11,2018-12-11,2018-06-01,49678
2018-12-11,2018-12-11,2018-07-01,50400
2018-12-11,2018-12-11,2018-08-01,50865
2018-12-11,2018-12-11,2018-09-01,51641
