realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,2003-01-01,2121
2018-12-11,2018-12-11,2003-02-01,2046
2018-12-11,2018-12-11,2003-03-01,2273
2018-12-11,2018-12-11,2003-04-01,2333
2018-12-11,2018-12-11,2003-05-01,2576
2018-12-11,2018-12-11,2003-06-01,2433
2018-12-11,2018-12-11,2003-07-01,2611
2018-12-11,2018-12-11,2003-08-01,2660
2018-12-11,2018-12-11,2003-09-01,2461
2018-12-11,2018-12-11,2003-10-01,2641
2018-12-11,2018-12-11,2003-11-01,2660
2018-12-11,2018-12-11,2003-12-01,3654
2018-12-11,2018-12-11,2004-01-01,2293
2018-12-11,2018-12-11,2004-02-01,2219
2018-12-11,2018-12-11,2004-03-01,2398
2018-12-11,2018-12-11,2004-04-01,2553
2018-12-11,2018-12-11,2004-05-01,2685
2018-12-11,2018-12-11,2004-06-01,2643
2018-12-11,2018-12-11,2004-07-01,2867
2018-12-11,2018-12-11,2004-08-01,2622
2018-12-11,2018-12-11,2004-09-01,2618
2018-12-11,2018-12-11,2004-10-01,2727
2018-12-11,2018-12-11,2004-11-01,2763
2018-12-11,2018-12-11,2004-12-01,3801
2018-12-11,2018-12-11,2005-01-01,2219
2018-12-11,2018-12-11,2005-02-01,2316
2018-12-11,2018-12-11,2005-03-01,2530
2018-12-11,2018-12-11,2005-04-01,2640
2018-12-11,2018-12-11,2005-05-01,2709
2018-12-11,2018-12-11,2005-06-01,2783
2018-12-11,2018-12-11,2005-07-01,2924
2018-12-11,2018-12-11,2005-08-01,2791
2018-12-11,2018-12-11,2005-09-01,2784
2018-12-11,2018-12-11,2005-10-01,2801
2018-12-11,2018-12-11,2005-11-01,2933
2018-12-11,2018-12-11,2005-12-01,4137
2018-12-11,2018-12-11,2006-01-01,2424
2018-12-11,2018-12-11,2006-02-01,2519
2018-12-11,2018-12-11,2006-03-01,2753
2018-12-11,2018-12-11,2006-04-01,2791
2018-12-11,2018-12-11,2006-05-01,3017
2018-12-11,2018-12-11,2006-06-01,3055
2018-12-11,2018-12-11,2006-07-01,3117
2018-12-11,2018-12-11,2006-08-01,3024
2018-12-11,2018-12-11,2006-09-01,2997
2018-12-11,2018-12-11,2006-10-01,2913
2018-12-11,2018-12-11,2006-11-01,3137
2018-12-11,2018-12-11,2006-12-01,4269
2018-12-11,2018-12-11,2007-01-01,2569
2018-12-11,2018-12-11,2007-02-01,2603
2018-12-11,2018-12-11,2007-03-01,3005
2018-12-11,2018-12-11,2007-04-01,2867
2018-12-11,2018-12-11,2007-05-01,3262
2018-12-11,2018-12-11,2007-06-01,3364
2018-12-11,2018-12-11,2007-07-01,3322
2018-12-11,2018-12-11,2007-08-01,3292
2018-12-11,2018-12-11,2007-09-01,3057
2018-12-11,2018-12-11,2007-10-01,3087
2018-12-11,2018-12-11,2007-11-01,3297
2018-12-11,2018-12-11,2007-12-01,4403
2018-12-11,2018-12-11,2008-01-01,2675
2018-12-11,2018-12-11,2008-02-01,2806
2018-12-11,2018-12-11,2008-03-01,2989
2018-12-11,2018-12-11,2008-04-01,2997
2018-12-11,2018-12-11,2008-05-01,3420
2018-12-11,2018-12-11,2008-06-01,3279
2018-12-11,2018-12-11,2008-07-01,3517
2018-12-11,2018-12-11,2008-08-01,3472
2018-12-11,2018-12-11,2008-09-01,3151
2018-12-11,2018-12-11,2008-10-01,3351
2018-12-11,2018-12-11,2008-11-01,3386
2018-12-11,2018-12-11,2008-12-01,4461
2018-12-11,2018-12-11,2009-01-01,2913
2018-12-11,2018-12-11,2009-02-01,2781
2018-12-11,2018-12-11,2009-03-01,3024
2018-12-11,2018-12-11,2009-04-01,3130
2018-12-11,2018-12-11,2009-05-01,3467
2018-12-11,2018-12-11,2009-06-01,3307
2018-12-11,2018-12-11,2009-07-01,3555
2018-12-11,2018-12-11,2009-08-01,3399
2018-12-11,2018-12-11,2009-09-01,3263
2018-12-11,2018-12-11,2009-10-01,3425
2018-12-11,2018-12-11,2009-11-01,3356
2018-12-11,2018-12-11,2009-12-01,4625
2018-12-11,2018-12-11,2010-01-01,2878
2018-12-11,2018-12-11,2010-02-01,2916
2018-12-11,2018-12-11,2010-03-01,3214
2018-12-11,2018-12-11,2010-04-01,3310
2018-12-11,2018-12-11,2010-05-01,3467
2018-12-11,2018-12-11,2010-06-01,3438
2018-12-11,2018-12-11,2010-07-01,3657
2018-12-11,2018-12-11,2010-08-01,3454
2018-12-11,2018-12-11,2010-09-01,3365
2018-12-11,2018-12-11,2010-10-01,3497
2018-12-11,2018-12-11,2010-11-01,3524
2018-12-11,2018-12-11,2010-12-01,4681
2018-12-11,2018-12-11,2011-01-01,2888
2018-12-11,2018-12-11,2011-02-01,2984
2018-12-11,2018-12-11,2011-03-01,3249
2018-12-11,2018-12-11,2011-04-01,3363
2018-12-11,2018-12-11,2011-05-01,3471
2018-12-11,2018-12-11,2011-06-01,3551
2018-12-11,2018-12-11,2011-07-01,3740
2018-12-11,2018-12-11,2011-08-01,3576
2018-12-11,2018-12-11,2011-09-01,3517
2018-12-11,2018-12-11,2011-10-01,3515
2018-12-11,2018-12-11,2011-11-01,3646
2018-12-11,2018-12-11,2011-12-01,4892
2018-12-11,2018-12-11,2012-01-01,2995
2018-12-11,2018-12-11,2012-02-01,3202
