realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,2003-01-01,49170
2018-12-11,2018-12-11,2003-02-01,47673
2018-12-11,2018-12-11,2003-03-01,56000
2018-12-11,2018-12-11,2003-04-01,55764
2018-12-11,2018-12-11,2003-05-01,59506
2018-12-11,2018-12-11,2003-06-01,58090
2018-12-11,2018-12-11,2003-07-01,61433
2018-12-11,2018-12-11,2003-08-01,61356
2018-12-11,2018-12-11,2003-09-01,55297
2018-12-11,2018-12-11,2003-10-01,53065
2018-12-11,2018-12-11,2003-11-01,48537
2018-12-11,2018-12-11,2003-12-01,53314
2018-12-11,2018-12-11,2004-01-01,47864
2018-12-11,2018-12-11,2004-02-01,50584
2018-12-11,2018-12-11,2004-03-01,60638
2018-12-11,2018-12-11,2004-04-01,55578
2018-12-11,2018-12-11,2004-05-01,59332
2018-12-11,2018-12-11,2004-06-01,57264
2018-12-11,2018-12-11,2004-07-01,60858
2018-12-11,2018-12-11,2004-08-01,59246
2018-12-11,2018-12-11,2004-09-01,57973
2018-12-11,2018-12-11,2004-10-01,53128
2018-12-11,2018-12-11,2004-11-01,50718
2018-12-11,2018-12-11,2004-12-01,57370
2018-12-11,2018-12-11,2005-01-01,47706
2018-12-11,2018-12-11,2005-02-01,50927
2018-12-11,2018-12-11,2005-03-01,61437
2018-12-11,2018-12-11,2005-04-01,58535
2018-12-11,2018-12-11,2005-05-01,59474
2018-12-11,2018-12-11,2005-06-01,65585
2018-12-11,2018-12-11,2005-07-01,69231
2018-12-11,2018-12-11,2005-08-01,62506
2018-12-11,2018-12-11,2005-09-01,53141
2018-12-11,2018-12-11,2005-10-01,47958
2018-12-11,2018-12-11,2005-11-01,49730
2018-12-11,2018-12-11,2005-12-01,55717
2018-12-11,2018-12-11,2006-01-01,50629
2018-12-11,2018-12-11,2006-02-01,51314
2018-12-11,2018-12-11,2006-03-01,62921
2018-12-11,2018-12-11,2006-04-01,56863
2018-12-11,2018-12-11,2006-05-01,61023
2018-12-11,2018-12-11,2006-06-01,60477
2018-12-11,2018-12-11,2006-07-01,61957
2018-12-11,2018-12-11,2006-08-01,63872
2018-12-11,2018-12-11,2006-09-01,55786
2018-12-11,2018-12-11,2006-10-01,53468
2018-12-11,2018-12-11,2006-11-01,51710
2018-12-11,2018-12-11,2006-12-01,55602
2018-12-11,2018-12-11,2007-01-01,50920
2018-12-11,2018-12-11,2007-02-01,53146
2018-12-11,2018-12-11,2007-03-01,63462
2018-12-11,2018-12-11,2007-04-01,57632
2018-12-11,2018-12-11,2007-05-01,63279
2018-12-11,2018-12-11,2007-06-01,59095
2018-12-11,2018-12-11,2007-07-01,59393
2018-12-11,2018-12-11,2007-08-01,64017
2018-12-11,2018-12-11,2007-09-01,55806
2018-12-11,2018-12-11,2007-10-01,56263
2018-12-11,2018-12-11,2007-11-01,51284
2018-12-11,2018-12-11,2007-12-01,53410
2018-12-11,2018-12-11,2008-01-01,49775
2018-12-11,2018-12-11,2008-02-01,51502
2018-12-11,2018-12-11,2008-03-01,57091
2018-12-11,2018-12-11,2008-04-01,53864
2018-12-11,2018-12-11,2008-05-01,55396
2018-12-11,2018-12-11,2008-06-01,49500
2018-12-11,2018-12-11,2008-07-01,50236
2018-12-11,2018-12-11,2008-08-01,51435
2018-12-11,2018-12-11,2008-09-01,44333
2018-12-11,2018-12-11,2008-10-01,39272
2018-12-11,2018-12-11,2008-11-01,34535
2018-12-11,2018-12-11,2008-12-01,38654
2018-12-11,2018-12-11,2009-01-01,36015
2018-12-11,2018-12-11,2009-02-01,35243
2018-12-11,2018-12-11,2009-03-01,40565
2018-12-11,2018-12-11,2009-04-01,39441
2018-12-11,2018-12-11,2009-05-01,41068
2018-12-11,2018-12-11,2009-06-01,42442
2018-12-11,2018-12-11,2009-07-01,45635
2018-12-11,2018-12-11,2009-08-01,49947
2018-12-11,2018-12-11,2009-09-01,37120
2018-12-11,2018-12-11,2009-10-01,40085
2018-12-11,2018-12-11,2009-11-01,36810
2018-12-11,2018-12-11,2009-12-01,42194
2018-12-11,2018-12-11,2010-01-01,37035
2018-12-11,2018-12-11,2010-02-01,37155
2018-12-11,2018-12-11,2010-03-01,49926
2018-12-11,2018-12-11,2010-04-01,47053
2018-12-11,2018-12-11,2010-05-01,48346
2018-12-11,2018-12-11,2010-06-01,46879
2018-12-11,2018-12-11,2010-07-01,49697
2018-12-11,2018-12-11,2010-08-01,48858
2018-12-11,2018-12-11,2010-09-01,45610
2018-12-11,2018-12-11,2010-10-01,45366
2018-12-11,2018-12-11,2010-11-01,43813
2018-12-11,2018-12-11,2010-12-01,49735
2018-12-11,2018-12-11,2011-01-01,43739
2018-12-11,2018-12-11,2011-02-01,46318
2018-12-11,2018-12-11,2011-03-01,55952
2018-12-11,2018-12-11,2011-04-01,51777
2018-12-11,2018-12-11,2011-05-01,51278
2018-12-11,2018-12-11,2011-06-01,51281
2018-12-11,2018-12-11,2011-07-01,51208
2018-12-11,2018-12-11,2011-08-01,52919
2018-12-11,2018-12-11,2011-09-01,50292
