realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,2003-01-01,5219
2018-12-11,2018-12-11,2003-02-01,5199
2018-12-11,2018-12-11,2003-03-01,5265
2018-12-11,2018-12-11,2003-04-01,5250
2018-12-11,2018-12-11,2003-05-01,5307
2018-12-11,2018-12-11,2003-06-01,5341
2018-12-11,2018-12-11,2003-07-01,5369
2018-12-11,2018-12-11,2003-08-01,5381
2018-12-11,2018-12-11,2003-09-01,5500
2018-12-11,2018-12-11,2003-10-01,5476
2018-12-11,2018-12-11,2003-11-01,5499
2018-12-11,2018-12-11,2003-12-01,5422
2018-12-11,2018-12-11,2004-01-01,5439
2018-12-11,2018-12-11,2004-02-01,5507
2018-12-11,2018-12-11,2004-03-01,5577
2018-12-11,2018-12-11,2004-04-01,5481
2018-12-11,2018-12-11,2004-05-01,5541
2018-12-11,2018-12-11,2004-06-01,5476
2018-12-11,2018-12-11,2004-07-01,5530
2018-12-11,2018-12-11,2004-08-01,5526
2018-12-11,2018-12-11,2004-09-01,5514
2018-12-11,2018-12-11,2004-10-01,5610
2018-12-11,2018-12-11,2004-11-01,5603
2018-12-11,2018-12-11,2004-12-01,5743
2018-12-11,2018-12-11,2005-01-01,5935
2018-12-11,2018-12-11,2005-02-01,5824
2018-12-11,2018-12-11,2005-03-01,5728
2018-12-11,2018-12-11,2005-04-01,5853
2018-12-11,2018-12-11,2005-05-01,5754
2018-12-11,2018-12-11,2005-06-01,5828
2018-12-11,2018-12-11,2005-07-01,5784
2018-12-11,2018-12-11,2005-08-01,5833
2018-12-11,2018-12-11,2005-09-01,5769
2018-12-11,2018-12-11,2005-10-01,5799
2018-12-11,2018-12-11,2005-11-01,6022
2018-12-11,2018-12-11,2005-12-01,6024
2018-12-11,2018-12-11,2006-01-01,6210
2018-12-11,2018-12-11,2006-02-01,6031
2018-12-11,2018-12-11,2006-03-01,6013
2018-12-11,2018-12-11,2006-04-01,5989
2018-12-11,2018-12-11,2006-05-01,5901
2018-12-11,2018-12-11,2006-06-01,5962
2018-12-11,2018-12-11,2006-07-01,6014
2018-12-11,2018-12-11,2006-08-01,6030
2018-12-11,2018-12-11,2006-09-01,6103
2018-12-11,2018-12-11,2006-10-01,6074
2018-12-11,2018-12-11,2006-11-01,6001
2018-12-11,2018-12-11,2006-12-01,6118
2018-12-11,2018-12-11,2007-01-01,6105
2018-12-11,2018-12-11,2007-02-01,6047
2018-12-11,2018-12-11,2007-03-01,6248
2018-12-11,2018-12-11,2007-04-01,6131
2018-12-11,2018-12-11,2007-05-01,6268
2018-12-11,2018-12-11,2007-06-01,6194
2018-12-11,2018-12-11,2007-07-01,6229
2018-12-11,2018-12-11,2007-08-01,6261
2018-12-11,2018-12-11,2007-09-01,6295
2018-12-11,2018-12-11,2007-10-01,6411
2018-12-11,2018-12-11,2007-11-01,6283
2018-12-11,2018-12-11,2007-12-01,6219
2018-12-11,2018-12-11,2008-01-01,6228
2018-12-11,2018-12-11,2008-02-01,6230
2018-12-11,2018-12-11,2008-03-01,6237
2018-12-11,2018-12-11,2008-04-01,6287
2018-12-11,2018-12-11,2008-05-01,6374
2018-12-11,2018-12-11,2008-06-01,6422
2018-12-11,2018-12-11,2008-07-01,6463
2018-12-11,2018-12-11,2008-08-01,6298
2018-12-11,2018-12-11,2008-09-01,6349
2018-12-11,2018-12-11,2008-10-01,6346
2018-12-11,2018-12-11,2008-11-01,6442
2018-12-11,2018-12-11,2008-12-01,6395
2018-12-11,2018-12-11,2009-01-01,6411
2018-12-11,2018-12-11,2009-02-01,6366
2018-12-11,2018-12-11,2009-03-01,6247
2018-12-11,2018-12-11,2009-04-01,6277
2018-12-11,2018-12-11,2009-05-01,6262
2018-12-11,2018-12-11,2009-06-01,6204
2018-12-11,2018-12-11,2009-07-01,6143
2018-12-11,2018-12-11,2009-08-01,6102
2018-12-11,2018-12-11,2009-09-01,6051
2018-12-11,2018-12-11,2009-10-01,6098
2018-12-11,2018-12-11,2009-11-01,6016
2018-12-11,2018-12-11,2009-12-01,6089
2018-12-11,2018-12-11,2010-01-01,6104
2018-12-11,2018-12-11,2010-02-01,6218
2018-12-11,2018-12-11,2010-03-01,6320
2018-12-11,2018-12-11,2010-04-01,6491
2018-12-11,2018-12-11,2010-05-01,6413
2018-12-11,2018-12-11,2010-06-01,6452
2018-12-11,2018-12-11,2010-07-01,6463
2018-12-11,2018-12-11,2010-08-01,6654
2018-12-11,2018-12-11,2010-09-01,6634
2018-12-11,2018-12-11,2010-10-01,6670
2018-12-11,2018-12-11,2010-11-01,6706
2018-12-11,2018-12-11,2010-12-01,6778
2018-12-11,2018-12-11,2011-01-01,6609
2018-12-11,2018-12-11,2011-02-01,6664
2018-12-11,2018-12-11,2011-03-01,6812
2018-12-11,2018-12-11,2011-04-01,6744
2018-12-11,2018-12-11,2011-05-01,6828
2018-12-11,2018-12-11,2011-06-01,7029
2018-12-11,2018-12-11,2011-07-01,6954
2018-12-11,2018-12-11,2011-08-01,7107
2018-12-11,2018-12-11,2011-09-01,7141
2018-12-11,2018-12-11,2011-10-01,7025
2018-12-11,2018-12-11,2011-11-01,7057
2018-12-11,2018-12-11,2011-12-01,7022
2018-12-11,2018-12-11,2012-01-01,7193
2018-12-11,2018-12-11,2012-02-01,7067
2018-12-11,2018-12-11,2012-03-01,6987
2018-12-11,2018-12-11,2012-04-01,7004
2018-12-11,2018-12-11,2012-05-01,6946
2018-12-11,2018-12-11,2012-06-01,6942
2018-12-11,2018-12-11,2012-07-01,7044
2018-12-11,2018-12-11,2012-08-01,6911
2018-12-11,2018-12-11,2012-09-01,7055
2018-12-11,2018-12-11,2012-10-01,7038
2018-12-11,2018-12-11,2012-11-01,6972
2018-12-11,2018-12-11,2012-12-01,6970
2018-12-11,2018-12-11,2013-01-01,6984
2018-12-11,2018-12-11,2013-02-01,7089
2018-12-11,2018-12-11,2013-03-01,6961
2018-12-11,2018-12-11,2013-04-01,6980
2018-12-11,2018-12-11,2013-05-01,7060
2018-12-11,2018-12-11,2013-06-01,7001
2018-12-11,2018-12-11,2013-07-01,7030
2018-12-11,2018-12-11,2013-08-01,7109
2018-12-11,2018-12-11,2013-09-01,7081
2018-12-11,2018-12-11,2013-10-01,7211
2018-12-11,2018-12-11,2013-11-01,7272
2018-12-11,2018-12-11,2013-12-01,7303
2018-12-11,2018-12-11,2014-01-01,7171
2018-12-11,2018-12-11,2014-02-01,7236
2018-12-11,2018-12-11,2014-03-01,7250
2018-12-11,2018-12-11,2014-04-01,7206
2018-12-11,2018-12-11,2014-05-01,7110
2018-12-11,2018-12-11,2014-06-01,7037
2018-12-11,2018-12-11,2014-07-01,7025
2018-12-11,2018-12-11,2014-08-01,7112
2018-12-11,2018-12-11,2014-09-01,7074
2018-12-11,2018-12-11,2014-10-01,7100
2018-12-11,2018-12-11,2014-11-01,7497
2018-12-11,2018-12-11,2014-12-01,7031
2018-12-11,2018-12-11,2015-01-01,7190
2018-12-11,2018-12-11,2015-02-01,7259
2018-12-11,2018-12-11,2015-03-01,7344
2018-12-11,2018-12-11,2015-04-01,7411
2018-12-11,2018-12-11,2015-05-01,7475
2018-12-11,2018-12-11,2015-06-01,7533
2018-12-11,2018-12-11,2015-07-01,7598
2018-12-11,2018-12-11,2015-08-01,7483
2018-12-11,2018-12-11,2015-09-01,7446
2018-12-11,2018-12-11,2015-10-01,7457
2018-12-11,2018-12-11,2015-11-01,7585
2018-12-11,2018-12-11,2015-12-01,7471
2018-12-11,2018-12-11,2016-01-01,7663
2018-12-11,2018-12-11,2016-02-01,7556
2018-12-11,2018-12-11,2016-03-01,7458
2018-12-11,2018-12-11,2016-04-01,7450
2018-12-11,2018-12-11,2016-05-01,7479
2018-12-11,2018-12-11,2016-06-01,7542
2018-12-11,2018-12-11,2016-07-01,7448
2018-12-11,2018-12-11,2016-08-01,7499
2018-12-11,2018-12-11,2016-09-01,7458
2018-12-11,2018-12-11,2016-10-01,7516
2018-12-11,2018-12-11,2016-11-01,7404
2018-12-11,2018-12-11,2016-12-01,7881
2018-12-11,2018-12-11,2017-01-01,7564
2018-12-11,2018-12-11,2017-02-01,7370
2018-12-11,2018-12-11,2017-03-01,7517
2018-12-11,2018-12-11,2017-04-01,7546
2018-12-11,2018-12-11,2017-05-01,7460
2018-12-11,2018-12-11,2017-06-01,7413
2018-12-11,2018-12-11,2017-07-01,7470
2018-12-11,2018-12-11,2017-08-01,7395
2018-12-11,2018-12-11,2017-09-01,7548
2018-12-11,2018-12-11,2017-10-01,7437
2018-12-11,2018-12-11,2017-11-01,7559
2018-12-11,2018-12-11,2017-12-01,7715
2018-12-11,2018-12-11,2018-01-01,7478
2018-12-11,2018-12-11,2018-02-01,7401
2018-12-11,2018-12-11,2018-03-01,7496
2018-12-11,2018-12-11,2018-04-01,7496
2018-12-11,2018-12-11,2018-05-01,7567
2018-12-11,2018-12-11,2018-06-01,7510
2018-12-11,2018-12-11,2018-07-01,7623
2018-12-11,2018-12-11,2018-08-01,7639
2018-12-11,2018-12-11,2018-09-01,7691
