realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,1996-10-01,11577
2018-12-11,2018-12-11,1996-11-01,11318
2018-12-11,2018-12-11,1996-12-01,11435
2018-12-11,2018-12-11,1997-01-01,11513
2018-12-11,2018-12-11,1997-02-01,11468
2018-12-11,2018-12-11,1997-03-01,11623
2018-12-11,2018-12-11,1997-04-01,11195
2018-12-11,2018-12-11,1997-05-01,11413
2018-12-11,2018-12-11,1997-06-01,11643
2018-12-11,2018-12-11,1997-07-01,11735
2018-12-11,2018-12-11,1997-08-01,11828
2018-12-11,2018-12-11,1997-09-01,11845
2018-12-11,2018-12-11,1997-10-01,11881
2018-12-11,2018-12-11,1997-11-01,11936
2018-12-11,2018-12-11,1997-12-01,12110
2018-12-11,2018-12-11,1998-01-01,12154
2018-12-11,2018-12-11,1998-02-01,12199
2018-12-11,2018-12-11,1998-03-01,12164
2018-12-11,2018-12-11,1998-04-01,12459
2018-12-11,2018-12-11,1998-05-01,12304
2018-12-11,2018-12-11,1998-06-01,12447
2018-12-11,2018-12-11,1998-07-01,12559
2018-12-11,2018-12-11,1998-08-01,12460
2018-12-11,2018-12-11,1998-09-01,12180
2018-12-11,2018-12-11,1998-10-01,12540
2018-12-11,2018-12-11,1998-11-01,12736
2018-12-11,2018-12-11,1998-12-01,12746
2018-12-11,2018-12-11,1999-01-01,12897
2018-12-11,2018-12-11,1999-02-01,12920
2018-12-11,2018-12-11,1999-03-01,13075
2018-12-11,2018-12-11,1999-04-01,13139
2018-12-11,2018-12-11,1999-05-01,13373
2018-12-11,2018-12-11,1999-06-01,13373
2018-12-11,2018-12-11,1999-07-01,13270
2018-12-11,2018-12-11,1999-08-01,13404
2018-12-11,2018-12-11,1999-09-01,13381
2018-12-11,2018-12-11,1999-10-01,13400
2018-12-11,2018-12-11,1999-11-01,13416
2018-12-11,2018-12-11,1999-12-01,13573
2018-12-11,2018-12-11,2000-01-01,13301
2018-12-11,2018-12-11,2000-02-01,13532
2018-12-11,2018-12-11,2000-03-01,13818
2018-12-11,2018-12-11,2000-04-01,13801
2018-12-11,2018-12-11,2000-05-01,14027
2018-12-11,2018-12-11,2000-06-01,13864
2018-12-11,2018-12-11,2000-07-01,13722
2018-12-11,2018-12-11,2000-08-01,14072
2018-12-11,2018-12-11,2000-09-01,14366
2018-12-11,2018-12-11,2000-10-01,14231
2018-12-11,2018-12-11,2000-11-01,14294
2018-12-11,2018-12-11,2000-12-01,14084
2018-12-11,2018-12-11,2001-01-01,14135
2018-12-11,2018-12-11,2001-02-01,14166
2018-12-11,2018-12-11,2001-03-01,13801
2018-12-11,2018-12-11,2001-04-01,14217
2018-12-11,2018-12-11,2001-05-01,13950
2018-12-11,2018-12-11,2001-06-01,13804
2018-12-11,2018-12-11,2001-07-01,13994
2018-12-11,2018-12-11,2001-08-01,14171
2018-12-11,2018-12-11,2001-09-01,13286
2018-12-11,2018-12-11,2001-10-01,13973
2018-12-11,2018-12-11,2001-11-01,13970
2018-12-11,2018-12-11,2001-12-01,14126
2018-12-11,2018-12-11,2002-01-01,14220
2018-12-11,2018-12-11,2002-02-01,14357
2018-12-11,2018-12-11,2002-03-01,14436
2018-12-11,2018-12-11,2002-04-01,14410
2018-12-11,2018-12-11,2002-05-01,14220
2018-12-11,2018-12-11,2002-06-01,14366
2018-12-11,2018-12-11,2002-07-01,14200
2018-12-11,2018-12-11,2002-08-01,14338
2018-12-11,2018-12-11,2002-09-01,13966
2018-12-11,2018-12-11,2002-10-01,14625
2018-12-11,2018-12-11,2002-11-01,14456
2018-12-11,2018-12-11,2002-12-01,14714
2018-12-11,2018-12-11,2003-01-01,14565
2018-12-11,2018-12-11,2003-02-01,14142
2018-12-11,2018-12-11,2003-03-01,14465
2018-12-11,2018-12-11,2003-04-01,14434
2018-12-11,2018-12-11,2003-05-01,14651
2018-12-11,2018-12-11,2003-06-01,14894
2018-12-11,2018-12-11,2003-07-01,15141
2018-12-11,2018-12-11,2003-08-01,15089
2018-12-11,2018-12-11,2003-09-01,15175
2018-12-11,2018-12-11,2003-10-01,15067
2018-12-11,2018-12-11,2003-11-01,15338
2018-12-11,2018-12-11,2003-12-01,15456
2018-12-11,2018-12-11,2004-01-01,15513
2018-12-11,2018-12-11,2004-02-01,15687
2018-12-11,2018-12-11,2004-03-01,15984
2018-12-11,2018-12-11,2004-04-01,15567
2018-12-11,2018-12-11,2004-05-01,15736
2018-12-11,2018-12-11,2004-06-01,15555
2018-12-11,2018-12-11,2004-07-01,15645
2018-12-11,2018-12-11,2004-08-01,15660
2018-12-11,2018-12-11,2004-09-01,15764
2018-12-11,2018-12-11,2004-10-01,16055
2018-12-11,2018-12-11,2004-11-01,16044
2018-12-11,2018-12-11,2004-12-01,16183
2018-12-11,2018-12-11,2005-01-01,16125
2018-12-11,2018-12-11,2005-02-01,16674
2018-12-11,2018-12-11,2005-03-01,16293
2018-12-11,2018-12-11,2005-04-01,16636
2018-12-11,2018-12-11,2005-05-01,16514
2018-12-11,2018-12-11,2005-06-01,16824
2018-12-11,2018-12-11,2005-07-01,16450
2018-12-11,2018-12-11,2005-08-01,16759
2018-12-11,2018-12-11,2005-09-01,16450
2018-12-11,2018-12-11,2005-10-01,17120
2018-12-11,2018-12-11,2005-11-01,17142
2018-12-11,2018-12-11,2005-12-01,17207
2018-12-11,2018-12-11,2006-01-01,17331
2018-12-11,2018-12-11,2006-02-01,17384
2018-12-11,2018-12-11,2006-03-01,17385
2018-12-11,2018-12-11,2006-04-01,17542
2018-12-11,2018-12-11,2006-05-01,17492
2018-12-11,2018-12-11,2006-06-01,17701
2018-12-11,2018-12-11,2006-07-01,17691
2018-12-11,2018-12-11,2006-08-01,17635
2018-12-11,2018-12-11,2006-09-01,18256
2018-12-11,2018-12-11,2006-10-01,18126
2018-12-11,2018-12-11,2006-11-01,17910
2018-12-11,2018-12-11,2006-12-01,18497
2018-12-11,2018-12-11,2007-01-01,18493
2018-12-11,2018-12-11,2007-02-01,18144
2018-12-11,2018-12-11,2007-03-01,18643
2018-12-11,2018-12-11,2007-04-01,18189
2018-12-11,2018-12-11,2007-05-01,18545
2018-12-11,2018-12-11,2007-06-01,18388
2018-12-11,2018-12-11,2007-07-01,18522
2018-12-11,2018-12-11,2007-08-01,18491
2018-12-11,2018-12-11,2007-09-01,18412
2018-12-11,2018-12-11,2007-10-01,18431
2018-12-11,2018-12-11,2007-11-01,18759
2018-12-11,2018-12-11,2007-12-01,18570
2018-12-11,2018-12-11,2008-01-01,18542
2018-12-11,2018-12-11,2008-02-01,18280
2018-12-11,2018-12-11,2008-03-01,18338
2018-12-11,2018-12-11,2008-04-01,18384
2018-12-11,2018-12-11,2008-05-01,18642
2018-12-11,2018-12-11,2008-06-01,18708
2018-12-11,2018-12-11,2008-07-01,18635
2018-12-11,2018-12-11,2008-08-01,18524
2018-12-11,2018-12-11,2008-09-01,17560
2018-12-11,2018-12-11,2008-10-01,17317
2018-12-11,2018-12-11,2008-11-01,17173
2018-12-11,2018-12-11,2008-12-01,16868
2018-12-11,2018-12-11,2009-01-01,17159
2018-12-11,2018-12-11,2009-02-01,17401
2018-12-11,2018-12-11,2009-03-01,16510
2018-12-11,2018-12-11,2009-04-01,16900
2018-12-11,2018-12-11,2009-05-01,17038
2018-12-11,2018-12-11,2009-06-01,16817
2018-12-11,2018-12-11,2009-07-01,17015
2018-12-11,2018-12-11,2009-08-01,17233
2018-12-11,2018-12-11,2009-09-01,17172
2018-12-11,2018-12-11,2009-10-01,17296
2018-12-11,2018-12-11,2009-11-01,17105
2018-12-11,2018-12-11,2009-12-01,17127
2018-12-11,2018-12-11,2010-01-01,17346
2018-12-11,2018-12-11,2010-02-01,17362
2018-12-11,2018-12-11,2010-03-01,17880
2018-12-11,2018-12-11,2010-04-01,17728
2018-12-11,2018-12-11,2010-05-01,17612
2018-12-11,2018-12-11,2010-06-01,17532
2018-12-11,2018-12-11,2010-07-01,17552
2018-12-11,2018-12-11,2010-08-01,17672
2018-12-11,2018-12-11,2010-09-01,17670
2018-12-11,2018-12-11,2010-10-01,17984
2018-12-11,2018-12-11,2010-11-01,18510
2018-12-11,2018-12-11,2010-12-01,18212
2018-12-11,2018-12-11,2011-01-01,18322
2018-12-11,2018-12-11,2011-02-01,18532
2018-12-11,2018-12-11,2011-03-01,18719
2018-12-11,2018-12-11,2011-04-01,18923
2018-12-11,2018-12-11,2011-05-01,18864
2018-12-11,2018-12-11,2011-06-01,19179
2018-12-11,2018-12-11,2011-07-01,18975
2018-12-11,2018-12-11,2011-08-01,18911
2018-12-11,2018-12-11,2011-09-01,19508
2018-12-11,2018-12-11,2011-10-01,19086
2018-12-11,2018-12-11,2011-11-01,19370
2018-12-11,2018-12-11,2011-12-01,19526
2018-12-11,2018-12-11,2012-01-01,19615
2018-12-11,2018-12-11,2012-02-01,20148
2018-12-11,2018-12-11,2012-03-01,20035
2018-12-11,2018-12-11,2012-04-01,19519
2018-12-11,2018-12-11,2012-05-01,19679
