realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,2001-09-01,7078
2018-12-11,2018-12-11,2001-10-01,7603
2018-12-11,2018-12-11,2001-11-01,8548
2018-12-11,2018-12-11,2001-12-01,9427
2018-12-11,2018-12-11,2002-01-01,7149
2018-12-11,2018-12-11,2002-02-01,7091
2018-12-11,2018-12-11,2002-03-01,7777
2018-12-11,2018-12-11,2002-04-01,7370
2018-12-11,2018-12-11,2002-05-01,7991
2018-12-11,2018-12-11,2002-06-01,7502
2018-12-11,2018-12-11,2002-07-01,7671
2018-12-11,2018-12-11,2002-08-01,8205
2018-12-11,2018-12-11,2002-09-01,7456
2018-12-11,2018-12-11,2002-10-01,7859
2018-12-11,2018-12-11,2002-11-01,8839
2018-12-11,2018-12-11,2002-12-01,9528
2018-12-11,2018-12-11,2003-01-01,7190
2018-12-11,2018-12-11,2003-02-01,6713
2018-12-11,2018-12-11,2003-03-01,7618
2018-12-11,2018-12-11,2003-04-01,7374
2018-12-11,2018-12-11,2003-05-01,8078
2018-12-11,2018-12-11,2003-06-01,7753
2018-12-11,2018-12-11,2003-07-01,8074
2018-12-11,2018-12-11,2003-08-01,8384
2018-12-11,2018-12-11,2003-09-01,8017
2018-12-11,2018-12-11,2003-10-01,8351
2018-12-11,2018-12-11,2003-11-01,9018
2018-12-11,2018-12-11,2003-12-01,10166
2018-12-11,2018-12-11,2004-01-01,7651
2018-12-11,2018-12-11,2004-02-01,7613
2018-12-11,2018-12-11,2004-03-01,8499
2018-12-11,2018-12-11,2004-04-01,7991
2018-12-11,2018-12-11,2004-05-01,8112
2018-12-11,2018-12-11,2004-06-01,8443
2018-12-11,2018-12-11,2004-07-01,8895
2018-12-11,2018-12-11,2004-08-01,8883
2018-12-11,2018-12-11,2004-09-01,8441
2018-12-11,2018-12-11,2004-10-01,8718
2018-12-11,2018-12-11,2004-11-01,9594
2018-12-11,2018-12-11,2004-12-01,10917
2018-12-11,2018-12-11,2005-01-01,7908
2018-12-11,2018-12-11,2005-02-01,7973
2018-12-11,2018-12-11,2005-03-01,8787
2018-12-11,2018-12-11,2005-04-01,8418
2018-12-11,2018-12-11,2005-05-01,8649
2018-12-11,2018-12-11,2005-06-01,8966
2018-12-11,2018-12-11,2005-07-01,8957
2018-12-11,2018-12-11,2005-08-01,9607
2018-12-11,2018-12-11,2005-09-01,9216
2018-12-11,2018-12-11,2005-10-01,9110
2018-12-11,2018-12-11,2005-11-01,10232
2018-12-11,2018-12-11,2005-12-01,11297
2018-12-11,2018-12-11,2006-01-01,8595
2018-12-11,2018-12-11,2006-02-01,8457
2018-12-11,2018-12-11,2006-03-01,9412
2018-12-11,2018-12-11,2006-04-01,8556
2018-12-11,2018-12-11,2006-05-01,9209
2018-12-11,2018-12-11,2006-06-01,9447
2018-12-11,2018-12-11,2006-07-01,9244
2018-12-11,2018-12-11,2006-08-01,9940
2018-12-11,2018-12-11,2006-09-01,9511
2018-12-11,2018-12-11,2006-10-01,9178
2018-12-11,2018-12-11,2006-11-01,10195
2018-12-11,2018-12-11,2006-12-01,11051
2018-12-11,2018-12-11,2007-01-01,8802
2018-12-11,2018-12-11,2007-02-01,8423
2018-12-11,2018-12-11,2007-03-01,9415
2018-12-11,2018-12-11,2007-04-01,8553
2018-12-11,2018-12-11,2007-05-01,9266
2018-12-11,2018-12-11,2007-06-01,9171
2018-12-11,2018-12-11,2007-07-01,9194
2018-12-11,2018-12-11,2007-08-01,9867
2018-12-11,2018-12-11,2007-09-01,8885
2018-12-11,2018-12-11,2007-10-01,9069
2018-12-11,2018-12-11,2007-11-01,10012
2018-12-11,2018-12-11,2007-12-01,10487
2018-12-11,2018-12-11,2008-01-01,8163
2018-12-11,2018-12-11,2008-02-01,8104
2018-12-11,2018-12-11,2008-03-01,8381
2018-12-11,2018-12-11,2008-04-01,8029
2018-12-11,2018-12-11,2008-05-01,8604
2018-12-11,2018-12-11,2008-06-01,8117
2018-12-11,2018-12-11,2008-07-01,8495
2018-12-11,2018-12-11,2008-08-01,8456
2018-12-11,2018-12-11,2008-09-01,7676
2018-12-11,2018-12-11,2008-10-01,7712
2018-12-11,2018-12-11,2008-11-01,8121
2018-12-11,2018-12-11,2008-12-01,8862
2018-12-11,2018-12-11,2009-01-01,6796
2018-12-11,2018-12-11,2009-02-01,6593
2018-12-11,2018-12-11,2009-03-01,6907
2018-12-11,2018-12-11,2009-04-01,6608
2018-12-11,2018-12-11,2009-05-01,6974
2018-12-11,2018-12-11,2009-06-01,6922
2018-12-11,2018-12-11,2009-07-01,7194
2018-12-11,2018-12-11,2009-08-01,7159
2018-12-11,2018-12-11,2009-09-01,6967
2018-12-11,2018-12-11,2009-10-01,6853
2018-12-11,2018-12-11,2009-11-01,7375
2018-12-11,2018-12-11,2009-12-01,8401
2018-12-11,2018-12-11,2010-01-01,6324
2018-12-11,2018-12-11,2010-02-01,6468
2018-12-11,2018-12-11,2010-03-01,7271
2018-12-11,2018-12-11,2010-04-01,6729
