realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,2003-01-01,1761
2018-12-11,2018-12-11,2003-02-01,1747
2018-12-11,2018-12-11,2003-03-01,2121
2018-12-11,2018-12-11,2003-04-01,2135
2018-12-11,2018-12-11,2003-05-01,2182
2018-12-11,2018-12-11,2003-06-01,2325
2018-12-11,2018-12-11,2003-07-01,2293
2018-12-11,2018-12-11,2003-08-01,2548
2018-12-11,2018-12-11,2003-09-01,2075
2018-12-11,2018-12-11,2003-10-01,1970
2018-12-11,2018-12-11,2003-11-01,2200
2018-12-11,2018-12-11,2003-12-01,3643
2018-12-11,2018-12-11,2004-01-01,1901
2018-12-11,2018-12-11,2004-02-01,1888
2018-12-11,2018-12-11,2004-03-01,2287
2018-12-11,2018-12-11,2004-04-01,2221
2018-12-11,2018-12-11,2004-05-01,2305
2018-12-11,2018-12-11,2004-06-01,2514
2018-12-11,2018-12-11,2004-07-01,2530
2018-12-11,2018-12-11,2004-08-01,2621
2018-12-11,2018-12-11,2004-09-01,2216
2018-12-11,2018-12-11,2004-10-01,2103
2018-12-11,2018-12-11,2004-11-01,2306
2018-12-11,2018-12-11,2004-12-01,3748
2018-12-11,2018-12-11,2005-01-01,1956
2018-12-11,2018-12-11,2005-02-01,1976
2018-12-11,2018-12-11,2005-03-01,2408
2018-12-11,2018-12-11,2005-04-01,2539
2018-12-11,2018-12-11,2005-05-01,2493
2018-12-11,2018-12-11,2005-06-01,2655
2018-12-11,2018-12-11,2005-07-01,2652
2018-12-11,2018-12-11,2005-08-01,2788
2018-12-11,2018-12-11,2005-09-01,2338
2018-12-11,2018-12-11,2005-10-01,2246
2018-12-11,2018-12-11,2005-11-01,2492
2018-12-11,2018-12-11,2005-12-01,4170
2018-12-11,2018-12-11,2006-01-01,2100
2018-12-11,2018-12-11,2006-02-01,2154
2018-12-11,2018-12-11,2006-03-01,2792
2018-12-11,2018-12-11,2006-04-01,2713
2018-12-11,2018-12-11,2006-05-01,2776
2018-12-11,2018-12-11,2006-06-01,3012
2018-12-11,2018-12-11,2006-07-01,2872
2018-12-11,2018-12-11,2006-08-01,3085
2018-12-11,2018-12-11,2006-09-01,2752
2018-12-11,2018-12-11,2006-10-01,2447
2018-12-11,2018-12-11,2006-11-01,2710
2018-12-11,2018-12-11,2006-12-01,4456
2018-12-11,2018-12-11,2007-01-01,2200
2018-12-11,2018-12-11,2007-02-01,2171
2018-12-11,2018-12-11,2007-03-01,2969
2018-12-11,2018-12-11,2007-04-01,2737
2018-12-11,2018-12-11,2007-05-01,3087
2018-12-11,2018-12-11,2007-06-01,3380
2018-12-11,2018-12-11,2007-07-01,3165
2018-12-11,2018-12-11,2007-08-01,3378
2018-12-11,2018-12-11,2007-09-01,2712
2018-12-11,2018-12-11,2007-10-01,2570
2018-12-11,2018-12-11,2007-11-01,2939
2018-12-11,2018-12-11,2007-12-01,4496
2018-12-11,2018-12-11,2008-01-01,2315
2018-12-11,2018-12-11,2008-02-01,2415
2018-12-11,2018-12-11,2008-03-01,2995
2018-12-11,2018-12-11,2008-04-01,2984
2018-12-11,2018-12-11,2008-05-01,3276
2018-12-11,2018-12-11,2008-06-01,3408
2018-12-11,2018-12-11,2008-07-01,3308
2018-12-11,2018-12-11,2008-08-01,3543
2018-12-11,2018-12-11,2008-09-01,2725
2018-12-11,2018-12-11,2008-10-01,2482
2018-12-11,2018-12-11,2008-11-01,2796
2018-12-11,2018-12-11,2008-12-01,4530
2018-12-11,2018-12-11,2009-01-01,2442
2018-12-11,2018-12-11,2009-02-01,2347
2018-12-11,2018-12-11,2009-03-01,2894
2018-12-11,2018-12-11,2009-04-01,2959
2018-12-11,2018-12-11,2009-05-01,3119
2018-12-11,2018-12-11,2009-06-01,3290
2018-12-11,2018-12-11,2009-07-01,3209
2018-12-11,2018-12-11,2009-08-01,3418
2018-12-11,2018-12-11,2009-09-01,2779
2018-12-11,2018-12-11,2009-10-01,2571
2018-12-11,2018-12-11,2009-11-01,2788
2018-12-11,2018-12-11,2009-12-01,4758
2018-12-11,2018-12-11,2010-01-01,2373
2018-12-11,2018-12-11,2010-02-01,2303
2018-12-11,2018-12-11,2010-03-01,3118
2018-12-11,2018-12-11,2010-04-01,3001
2018-12-11,2018-12-11,2010-05-01,3078
2018-12-11,2018-12-11,2010-06-01,3413
2018-12-11,2018-12-11,2010-07-01,3266
2018-12-11,2018-12-11,2010-08-01,3415
2018-12-11,2018-12-11,2010-09-01,2828
2018-12-11,2018-12-11,2010-10-01,2611
2018-12-11,2018-12-11,2010-11-01,3107
2018-12-11,2018-12-11,2010-12-01,4894
2018-12-11,2018-12-11,2011-01-01,2414
2018-12-11,2018-12-11,2011-02-01,2456
2018-12-11,2018-12-11,2011-03-01,3266
2018-12-11,2018-12-11,2011-04-01,3246
2018-12-11,2018-12-11,2011-05-01,3169
2018-12-11,2018-12-11,2011-06-01,3505
2018-12-11,2018-12-11,2011-07-01,3334
2018-12-11,2018-12-11,2011-08-01,3623
2018-12-11,2018-12-11,2011-09-01,3011
2018-12-11,2018-12-11,2011-10-01,2746
2018-12-11,2018-12-11,2011-11-01,3227
2018-12-11,2018-12-11,2011-12-01,4998
2018-12-11,2018-12-11,2012-01-01,2505
2018-12-11,2018-12-11,2012-02-01,2723
2018-12-11,2018-12-11,2012-03-01,3607
2018-12-11,2018-12-11,2012-04-01,3304
2018-12-11,2018-12-11,2012-05-01,3455
2018-12-11,2018-12-11,2012-06-01,3829
2018-12-11,2018-12-11,2012-07-01,3551
2018-12-11,2018-12-11,2012-08-01,3969
2018-12-11,2018-12-11,2012-09-01,3161
2018-12-11,2018-12-11,2012-10-01,2959
2018-12-11,2018-12-11,2012-11-01,3478
2018-12-11,2018-12-11,2012-12-01,5601
2018-12-11,2018-12-11,2013-01-01,3066
2018-12-11,2018-12-11,2013-02-01,3010
2018-12-11,2018-12-11,2013-03-01,3822
2018-12-11,2018-12-11,2013-04-01,3417
2018-12-11,2018-12-11,2013-05-01,3645
2018-12-11,2018-12-11,2013-06-01,3939
2018-12-11,2018-12-11,2013-07-01,3802
2018-12-11,2018-12-11,2013-08-01,4141
2018-12-11,2018-12-11,2013-09-01,3212
2018-12-11,2018-12-11,2013-10-01,3142
2018-12-11,2018-12-11,2013-11-01,3726
2018-12-11,2018-12-11,2013-12-01,5479
2018-12-11,2018-12-11,2014-01-01,2700
2018-12-11,2018-12-11,2014-02-01,2779
2018-12-11,2018-12-11,2014-03-01,3522
2018-12-11,2018-12-11,2014-04-01,3488
2018-12-11,2018-12-11,2014-05-01,3647
2018-12-11,2018-12-11,2014-06-01,3897
2018-12-11,2018-12-11,2014-07-01,3806
2018-12-11,2018-12-11,2014-08-01,4345
2018-12-11,2018-12-11,2014-09-01,3486
2018-12-11,2018-12-11,2014-10-01,3403
2018-12-11,2018-12-11,2014-11-01,3865
2018-12-11,2018-12-11,2014-12-01,5785
2018-12-11,2018-12-11,2015-01-01,2839
2018-12-11,2018-12-11,2015-02-01,2831
2018-12-11,2018-12-11,2015-03-01,3690
2018-12-11,2018-12-11,2015-04-01,3573
2018-12-11,2018-12-11,2015-05-01,3829
2018-12-11,2018-12-11,2015-06-01,4098
2018-12-11,2018-12-11,2015-07-01,4102
2018-12-11,2018-12-11,2015-08-01,4331
2018-12-11,2018-12-11,2015-09-01,3649
2018-12-11,2018-12-11,2015-10-01,3422
2018-12-11,2018-12-11,2015-11-01,3828
2018-12-11,2018-12-11,2015-12-01,6134
2018-12-11,2018-12-11,2016-01-01,3067
2018-12-11,2018-12-11,2016-02-01,3197
2018-12-11,2018-12-11,2016-03-01,4026
2018-12-11,2018-12-11,2016-04-01,3746
2018-12-11,2018-12-11,2016-05-01,3892
2018-12-11,2018-12-11,2016-06-01,4575
2018-12-11,2018-12-11,2016-07-01,4260
2018-12-11,2018-12-11,2016-08-01,4246
2018-12-11,2018-12-11,2016-09-01,3537
2018-12-11,2018-12-11,2016-10-01,3346
2018-12-11,2018-12-11,2016-11-01,3813
2018-12-11,2018-12-11,2016-12-01,5746
2018-12-11,2018-12-11,2017-01-01,2898
2018-12-11,2018-12-11,2017-02-01,2968
2018-12-11,2018-12-11,2017-03-01,3700
2018-12-11,2018-12-11,2017-04-01,3562
2018-12-11,2018-12-11,2017-05-01,3710
2018-12-11,2018-12-11,2017-06-01,4003
2018-12-11,2018-12-11,2017-07-01,3807
2018-12-11,2018-12-11,2017-08-01,4101
2018-12-11,2018-12-11,2017-09-01,3457
2018-12-11,2018-12-11,2017-10-01,3285
2018-12-11,2018-12-11,2017-11-01,3852
2018-12-11,2018-12-11,2017-12-01,5319
2018-12-11,2018-12-11,2018-01-01,2680
2018-12-11,2018-12-11,2018-02-01,2920
2018-12-11,2018-12-11,2018-03-01,3648
2018-12-11,2018-12-11,2018-04-01,3467
2018-12-11,2018-12-11,2018-05-01,3621
2018-12-11,2018-12-11,2018-06-01,3907
2018-12-11,2018-12-11,2018-07-01,3709
2018-12-11,2018-12-11,2018-08-01,3918
2018-12-11,2018-12-11,2018-09-01,3054
